"index","payment_date","userid","price","payment_period"
"51","2016-07-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-07-01T00:00:00.000Z"
"52","2016-08-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-08-01T00:00:00.000Z"
"53","2016-09-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-09-01T00:00:00.000Z"
"54","2016-10-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-10-01T00:00:00.000Z"
"55","2016-11-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-11-01T00:00:00.000Z"
"56","2016-12-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2016-12-01T00:00:00.000Z"
"57","2017-01-27T00:00:00.000Z","005e3acf09fa01644f4a","5000","2017-01-01T00:00:00.000Z"
"58","2016-05-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-05-01T00:00:00.000Z"
"59","2016-06-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-06-01T00:00:00.000Z"
"60","2016-07-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-07-01T00:00:00.000Z"
"61","2016-08-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-08-01T00:00:00.000Z"
"62","2016-09-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-09-01T00:00:00.000Z"
"63","2016-10-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-10-01T00:00:00.000Z"
"64","2016-11-23T00:00:00.000Z","00a1ed31f06ed601a640","5000","2016-11-01T00:00:00.000Z"
"65","2017-01-27T00:00:00.000Z","00bdc9674fc7b48c9c73","5000","2017-01-01T00:00:00.000Z"
"66","2016-10-28T00:00:00.000Z","00c2e5d8d343e5ded2e6","5000","2016-10-01T00:00:00.000Z"
"67","2016-07-07T00:00:00.000Z","00f1509a1091d75f6582","5000","2016-07-01T00:00:00.000Z"
"68","2017-01-27T00:00:00.000Z","012e70bd197a5ff0af5b","5000","2017-01-01T00:00:00.000Z"
"69","2016-08-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2016-08-01T00:00:00.000Z"
"70","2016-09-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2016-09-01T00:00:00.000Z"
"71","2016-10-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2016-10-01T00:00:00.000Z"
"72","2016-11-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2016-11-01T00:00:00.000Z"
"73","2016-12-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2016-12-01T00:00:00.000Z"
"74","2017-01-22T00:00:00.000Z","012e94d0069e5c5a1260","5000","2017-01-01T00:00:00.000Z"
"75","2016-06-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-06-01T00:00:00.000Z"
"76","2016-07-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-07-01T00:00:00.000Z"
"77","2016-08-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-08-01T00:00:00.000Z"
"78","2016-09-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-09-01T00:00:00.000Z"
"79","2016-10-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-10-01T00:00:00.000Z"
"80","2016-11-21T00:00:00.000Z","0156a46ca6be1bc36c33","5000","2016-11-01T00:00:00.000Z"
"81","2016-08-26T00:00:00.000Z","01750e96d361107c6a7f","5000","2016-08-01T00:00:00.000Z"
"82","2016-08-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2016-08-01T00:00:00.000Z"
"83","2016-09-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2016-09-01T00:00:00.000Z"
"84","2016-10-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2016-10-01T00:00:00.000Z"
"85","2016-11-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2016-11-01T00:00:00.000Z"
"86","2016-12-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2016-12-01T00:00:00.000Z"
"87","2017-01-30T00:00:00.000Z","0175778a4d19747eb98c","5000","2017-01-01T00:00:00.000Z"
"88","2017-01-23T00:00:00.000Z","017febe21893719cdde1","5000","2017-01-01T00:00:00.000Z"
"89","2016-08-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2016-08-01T00:00:00.000Z"
"90","2016-09-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2016-09-01T00:00:00.000Z"
"91","2016-10-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2016-10-01T00:00:00.000Z"
"92","2016-11-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2016-11-01T00:00:00.000Z"
"93","2016-12-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2016-12-01T00:00:00.000Z"
"94","2017-01-19T00:00:00.000Z","0183f91bdd72b4b0d025","5000","2017-01-01T00:00:00.000Z"
"95","2016-08-15T00:00:00.000Z","018809f396f86c8e5df3","5000","2016-08-01T00:00:00.000Z"
"96","2016-06-01T00:00:00.000Z","0188dd0380c9509440de","5000","2016-05-01T00:00:00.000Z"
"97","2016-09-22T00:00:00.000Z","01909f4a6b6245b2b764","5000","2016-09-01T00:00:00.000Z"
"98","2016-10-22T00:00:00.000Z","01909f4a6b6245b2b764","5000","2016-10-01T00:00:00.000Z"
"99","2016-11-22T00:00:00.000Z","01909f4a6b6245b2b764","5000","2016-11-01T00:00:00.000Z"
"100","2016-12-22T00:00:00.000Z","01909f4a6b6245b2b764","5000","2016-12-01T00:00:00.000Z"
"101","2017-01-22T00:00:00.000Z","01909f4a6b6245b2b764","5000","2017-01-01T00:00:00.000Z"
"102","2016-10-17T00:00:00.000Z","01a6b8d52c8d96619bbc","5000","2016-10-01T00:00:00.000Z"
"103","2016-11-17T00:00:00.000Z","01a6b8d52c8d96619bbc","5000","2016-11-01T00:00:00.000Z"
"104","2016-12-17T00:00:00.000Z","01a6b8d52c8d96619bbc","5000","2016-12-01T00:00:00.000Z"
"105","2017-01-17T00:00:00.000Z","01a6b8d52c8d96619bbc","5000","2017-01-01T00:00:00.000Z"
"106","2016-09-23T00:00:00.000Z","01e7c0abd3b732a99460","5000","2016-09-01T00:00:00.000Z"
"107","2016-10-23T00:00:00.000Z","01e7c0abd3b732a99460","5000","2016-10-01T00:00:00.000Z"
"108","2016-11-23T00:00:00.000Z","01e7c0abd3b732a99460","5000","2016-11-01T00:00:00.000Z"
"109","2016-12-23T00:00:00.000Z","01e7c0abd3b732a99460","5000","2016-12-01T00:00:00.000Z"
"110","2017-01-23T00:00:00.000Z","01e7c0abd3b732a99460","5000","2017-01-01T00:00:00.000Z"
"111","2016-12-09T00:00:00.000Z","01fd51f53b6c094351c0","5000","2016-12-01T00:00:00.000Z"
